sighting_year,sighting_month,count
2025,4,34
2025,3,311
2025,2,303
2025,1,539
2024,12,931
2024,11,421
2024,10,378
2024,9,270
2024,8,291
2024,7,225
2024,6,256
2024,5,313
2024,4,205
2024,3,235
2024,2,256
2024,1,215
2023,12,213
2023,11,280
2023,10,462
2023,9,465
2023,8,579
2023,7,541
2023,6,353
2023,5,363
2023,4,304
2023,3,305
2023,2,396
2023,1,336
2022,12,323
2022,11,392
2022,10,538
2022,9,585
2022,8,571
2022,7,560
2022,6,467
2022,5,487
2022,4,346
2022,3,351
2022,2,333
2022,1,372
2021,12,381
2021,11,309
2021,10,311
2021,9,297
2021,8,296
2021,7,249
2021,6,253
2021,5,520
2021,4,301
2021,3,277
2021,2,266
2021,1,319
2020,12,406
2020,11,472
2020,10,556
2020,9,482
2020,8,750
2020,7,695
2020,6,399
2020,5,588
2020,4,1065
2020,3,844
2020,2,624
2020,1,638
2019,12,776
2019,11,718
2019,10,763
2019,9,687
2019,8,513
2019,7,633
2019,6,504
2019,5,564
2019,4,411
2019,3,340
2019,2,231
2019,1,366
2018,12,261
2018,11,264
2018,10,308
2018,9,334
2018,8,399
2018,7,466
2018,6,262
2018,5,267
2018,4,253
2018,3,245
2018,2,252
2018,1,323
2017,12,519
2017,11,372
2017,10,506
2017,9,470
2017,8,430
2017,7,545
2017,6,439
2017,5,375
2017,4,426
2017,3,355
2017,2,434
2017,1,344
2016,12,364
2016,11,514
2016,10,505
2016,9,609
2016,8,580
2016,7,717
2016,6,459
2016,5,394
2016,4,398
2016,3,423
2016,2,442
2016,1,433
2015,12,447
2015,11,926
2015,10,679
2015,9,756
2015,8,642
2015,7,760
2015,6,509
2015,5,480
2015,4,473
2015,3,491
2015,2,352
2015,1,552
2014,12,537
2014,11,559
2014,10,812
2014,9,856
2014,8,949
2014,7,1135
2014,6,808
2014,5,671
2014,4,677
2014,3,535
2014,2,566
2014,1,722
2013,12,781
2013,11,823
2013,10,809
2013,9,807
2013,8,938
2013,7,1003
2013,6,672
2013,5,552
2013,4,437
2013,3,403
2013,2,288
2013,1,407
2012,12,685
2012,11,793
2012,10,691
2012,9,790
2012,8,923
2012,7,969
2012,6,790
2012,5,540
2012,4,515
2012,3,549
2012,2,401
2012,1,593
2011,12,550
2011,11,454
2011,10,656
2011,9,571
2011,8,657
2011,7,794
2011,6,432
2011,5,330
2011,4,325
2011,3,340
2011,2,278
2011,1,335
2010,12,317
2010,11,375
2010,10,486
2010,9,461
2010,8,551
2010,7,866
2010,6,405
2010,5,341
2010,4,301
2010,3,270
2010,2,201
2010,1,297
2009,12,298
2009,11,330
2009,10,330
2009,9,609
2009,8,521
2009,7,624
2009,6,410
2009,5,365
2009,4,322
2009,3,347
2009,2,400
2009,1,502
2008,12,356
2008,11,469
2008,10,542
2008,9,396
2008,8,520
2008,7,588
2008,6,499
2008,5,353
2008,4,445
2008,3,344
2008,2,373
2008,1,479
2007,12,363
2007,11,379
2007,10,454
2007,9,458
2007,8,483
2007,7,476
2007,6,443
2007,5,325
2007,4,325
2007,3,365
2007,2,271
2007,1,444
2006,12,388
2006,11,414
2006,10,408
2006,9,333
2006,8,435
2006,7,442
2006,6,353
2006,5,305
2006,4,327
2006,3,310
2006,2,236
2006,1,257
2005,12,282
2005,11,473
2005,10,493
2005,9,535
2005,8,358
2005,7,467
2005,6,421
2005,5,305
2005,4,323
2005,3,363
2005,2,280
2005,1,264
2004,12,310
2004,11,336
2004,10,459
2004,9,420
2004,8,558
2004,7,443
2004,6,441
2004,5,397
2004,4,398
2004,3,418
2004,2,305
2004,1,309
2003,12,387
2003,11,472
2003,10,479
2003,9,513
2003,8,551
2003,7,461
2003,6,318
2003,5,259
2003,4,231
2003,3,194
2003,2,271
2003,1,329
2002,12,255
2002,11,295
2002,10,345
2002,9,387
2002,8,495
2002,7,443
2002,6,367
2002,5,256
2002,4,196
2002,3,199
2002,2,263
2002,1,242
2001,12,218
2001,11,283
2001,10,264
2001,9,364
2001,8,404
2001,7,421
2001,6,325
2001,5,264
2001,4,243
2001,3,293
2001,2,239
2001,1,286
2000,12,241
2000,11,238
2000,10,338
2000,9,304
2000,8,307
2000,7,382
2000,6,290
2000,5,193
2000,4,203
2000,3,227
2000,2,207
2000,1,239
1999,12,229
1999,11,455
1999,10,316
1999,9,409
1999,8,328
1999,7,314
1999,6,300
1999,5,194
1999,4,170
1999,3,167
1999,2,178
1999,1,146
1998,12,201
