report_link,sighting_dateTime,city,state_province,country,ufo_shape,report_summary,reported_dateTime,media,explanation
https://nuforc.org/sighting/?id=188754,2025-04-07 07:25:00,Coral Springs,FL,USA,Changing,"Flying, rotating black boomerang shaped object moving at a steady pace headed northbound",04/07/2025,False,
https://nuforc.org/sighting/?id=188751,2025-04-06 21:15:00,Lone Jack,MO,USA,Light,Saw a light in the sky that appeared and disappeared.,04/06/2025,False,
https://nuforc.org/sighting/?id=188753,2025-04-06 21:12:00,Delray Beach,FL,USA,Light,Diffuse anomalys light,04/07/2025,True,
https://nuforc.org/sighting/?id=188758,2025-04-06 20:30:00,Hyde,England,United Kingdom,Changing,"Very bright light, would fade then grow brighter started descending slowly the disappeared then reappear in a different spot out",04/07/2025,False,
https://nuforc.org/sighting/?id=188756,2025-04-06 20:26:00,,,United Kingdom,Orb,Appeared 1 by 1 in a line,04/07/2025,True,Chinese Lantern?
https://nuforc.org/sighting/?id=188752,2025-04-06 16:20:00,Saint Paul,MN,USA,Formation,"Sighting of multiple flying objects, flying in unison back-and-forth, unlike birds",04/06/2025,True,Birds
https://nuforc.org/sighting/?id=188749,2025-04-06 15:35:00,Azusa,CA,USA,Circle,White circles near the Moon that looked like floating balloons,04/06/2025,False,
https://nuforc.org/sighting/?id=188743,2025-04-06 04:17:00,New York,NY,USA,Circle,"Saw a reflection of light on my bedroom wall, looked out the window and saw the craft, disappeared a second after I looked.",04/06/2025,False,
https://nuforc.org/sighting/?id=188738,2025-04-06 02:05:00,Hulst,Zeeland,Netherlands,Diamond,Light Plus shape seen in the skye,04/05/2025,False,
https://nuforc.org/sighting/?id=188735,2025-04-05 22:38:00,Aberystwyth,Wales,United Kingdom,Circle,Flashing lights green and blue in the distance object was square and was stationary moving occasionally,04/05/2025,True,
https://nuforc.org/sighting/?id=188733,2025-04-05 22:15:00,Dindigul,Tamil Nadu,India,Circle,Strange Circle of Lights in Night Sky,04/05/2025,True,Searchlight
https://nuforc.org/sighting/?id=188742,2025-04-05 20:55:00,Eugene,OR,USA,Egg,Saw 4 crafts above my house flying in circular motions for over an hour. They did not make any noise and I have 3 videos of them,04/05/2025,True,Searchlight
https://nuforc.org/sighting/?id=188740,2025-04-05 20:45:00,Eugene,OR,USA,Circle,"Four dots moving in consistent patterns, like they were tracing the petals of a flower. Paused in the center of the pattern irregularly",04/05/2025,False,Searchlight
https://nuforc.org/sighting/?id=188741,2025-04-05 20:30:00,Springfield,OR,USA,Orb,"I saw four white orbs in the sky moving in perfect synchronization. They grouped together in a specific spot, then dispersed and group.",04/05/2025,True,Searchlight
https://nuforc.org/sighting/?id=188728,2025-04-05 13:20:00,Stara Moravica,Vojvodina,Serbia,Orb,-White orb below a condensation trail. Sighting equipment - bino BPC 12x50,04/05/2025,False,Balloon?
