report_link,sighting_dateTime,city,state_province,country,ufo_shape,report_summary,media,explanation
https://nuforc.org/sighting/?id=188754,04/07/2025 07:25,Coral Springs,FL,USA,Changing,"Flying, rotating black boomerang shaped object moving at a steady pace headed northbound",False,
https://nuforc.org/sighting/?id=188751,04/06/2025 21:15,Lone Jack,MO,USA,Light,Saw a light in the sky that appeared and disappeared.,False,
https://nuforc.org/sighting/?id=188753,04/06/2025 21:12,Delray Beach,FL,USA,Light,Diffuse anomalys light,True,
https://nuforc.org/sighting/?id=188758,04/06/2025 20:30,Hyde,England,United Kingdom,Changing,"Very bright light, would fade then grow brighter started descending slowly the disappeared then reappear in a different spot out",False,
https://nuforc.org/sighting/?id=188756,04/06/2025 20:26,,,United Kingdom,Orb,Appeared 1 by 1 in a line,True,Chinese Lantern?
https://nuforc.org/sighting/?id=188752,04/06/2025 16:20,Saint Paul,MN,USA,Formation,"Sighting of multiple flying objects, flying in unison back-and-forth, unlike birds",True,Birds
https://nuforc.org/sighting/?id=188749,04/06/2025 15:35,Azusa,CA,USA,Circle,White circles near the Moon that looked like floating balloons,False,
https://nuforc.org/sighting/?id=188743,04/06/2025 04:17,New York,NY,USA,Circle,"Saw a reflection of light on my bedroom wall, looked out the window and saw the craft, disappeared a second after I looked.",False,
https://nuforc.org/sighting/?id=188738,04/06/2025 02:05,Hulst,Zeeland,Netherlands,Diamond,Light Plus shape seen in the skye,False,
https://nuforc.org/sighting/?id=188735,04/05/2025 22:38,Aberystwyth,Wales,United Kingdom,Circle,Flashing lights green and blue in the distance object was square and was stationary moving occasionally,True,
https://nuforc.org/sighting/?id=188733,04/05/2025 22:15,Dindigul,Tamil Nadu,India,Circle,Strange Circle of Lights in Night Sky,True,Searchlight
https://nuforc.org/sighting/?id=188742,04/05/2025 20:55,Eugene,OR,USA,Egg,Saw 4 crafts above my house flying in circular motions for over an hour. They did not make any noise and I have 3 videos of them,True,Searchlight
https://nuforc.org/sighting/?id=188740,04/05/2025 20:45,Eugene,OR,USA,Circle,"Four dots moving in consistent patterns, like they were tracing the petals of a flower. Paused in the center of the pattern irregularly",False,Searchlight
https://nuforc.org/sighting/?id=188741,04/05/2025 20:30,Springfield,OR,USA,Orb,"I saw four white orbs in the sky moving in perfect synchronization. They grouped together in a specific spot, then dispersed and group.",True,Searchlight
https://nuforc.org/sighting/?id=188728,04/05/2025 13:20,Stara Moravica,Vojvodina,Serbia,Orb,-White orb below a condensation trail. Sighting equipment - bino BPC 12x50,False,Balloon?
https://nuforc.org/sighting/?id=188726,04/05/2025 06:20,Cape Town,Western Cape,South Africa,Oval,Bright light changed to solid craft and then back to two orbs,False,
https://nuforc.org/sighting/?id=188727,04/04/2025 21:43,Coxsackie,NY,USA,Changing,"I noticed the UAP out my window.And got my phone and tried to rush out the door to get it on film which fortunately , I was able to alt",True,
https://nuforc.org/sighting/?id=188720,04/04/2025 21:01,Colebrook,NH,USA,Other,"Was on back deck & looked up at sky. Saw a something shoot across the sky, then it might bagged back & forth. Then disappeared",False,
https://nuforc.org/sighting/?id=188717,04/04/2025 14:49,Vernal,UT,USA,Disk,"A gray disc with a smooth, metallic surface, unlike anything I had ever seen, zipped right over the school",False,
https://nuforc.org/sighting/?id=188710,04/04/2025 00:55,Boise,ID,USA,Light,"Watched something with a light in the sky for about an hour, then noticed more lights hovering in the sky.",False,Planet/Star?
https://nuforc.org/sighting/?id=188715,04/03/2025 23:25,Venus,TX,USA,Orb,Pulsating bright amber light,False,
https://nuforc.org/sighting/?id=188739,04/03/2025 22:20,London,ON,Canada,Triangle,"10-15 wide and maybe 15m long, curved leading edges and swept back “wings” with 2 dim lights on the “wingtips”. 1000-2000ft altitude",False,
https://nuforc.org/sighting/?id=188697,04/03/2025 20:25,Cessnock,New South Wales,Australia,Formation,Looking south from my backyard,False,
https://nuforc.org/sighting/?id=188718,04/03/2025 20:15,North Warren,PA,USA,Circle,4 big bright white lights,True,
https://nuforc.org/sighting/?id=188707,04/03/2025 01:30,Meridian,ID,USA,Light,Two bright red lights in sky doing corkscrew patterns and accelerating at a high speed and then coming to a dead stop,True,
https://nuforc.org/sighting/?id=188701,04/02/2025 21:03,Memphis,TN,USA,Circle,Small light appears suddenly and darts around during the lightning storm,True,Insect?
