Report Link,Sighting DateTime,City,State Province,Country,UFO Shape,Report Summary,Media,Explanation,location,latitude,longitude
https://nuforc.org/sighting/?id=188754,04/07/2025 07:25,Coral Springs,FL,USA,Changing,"Flying, rotating black boomerang shaped object moving at a steady pace headed northbound",False,,"Coral Springs, FL, USA",26.271192,-80.2706044
https://nuforc.org/sighting/?id=188751,04/06/2025 21:15,Lone Jack,MO,USA,Light,Saw a light in the sky that appeared and disappeared.,False,,"Lone Jack, MO, USA",38.8708419,-94.1738345
https://nuforc.org/sighting/?id=188753,04/06/2025 21:12,Delray Beach,FL,USA,Light,Diffuse anomalys light,True,,"Delray Beach, FL, USA",26.4614625,-80.0728201
https://nuforc.org/sighting/?id=188758,04/06/2025 20:30,Hyde,England,United Kingdom,Changing,"Very bright light, would fade then grow brighter started descending slowly the disappeared then reappear in a different spot out",False,,"Hyde, England, United Kingdom",53.4508687,-2.0782603
https://nuforc.org/sighting/?id=188756,04/06/2025 20:26,,,United Kingdom,Orb,Appeared 1 by 1 in a line,True,Chinese Lantern?,", , United Kingdom",54.7023545,-3.2765753
https://nuforc.org/sighting/?id=188752,04/06/2025 16:20,Saint Paul,MN,USA,Formation,"Sighting of multiple flying objects, flying in unison back-and-forth, unlike birds",True,Birds,"Saint Paul, MN, USA",44.9497487,-93.0931028
https://nuforc.org/sighting/?id=188749,04/06/2025 15:35,Azusa,CA,USA,Circle,White circles near the Moon that looked like floating balloons,False,,"Azusa, CA, USA",34.1338751,-117.9056046
https://nuforc.org/sighting/?id=188743,04/06/2025 04:17,New York,NY,USA,Circle,"Saw a reflection of light on my bedroom wall, looked out the window and saw the craft, disappeared a second after I looked.",False,,"New York, NY, USA",40.7127281,-74.0060152
https://nuforc.org/sighting/?id=188738,04/06/2025 02:05,Hulst,Zeeland,Netherlands,Diamond,Light Plus shape seen in the skye,False,,"Hulst, Zeeland, Netherlands",51.331593600000005,4.087732758731072
https://nuforc.org/sighting/?id=188735,04/05/2025 22:38,Aberystwyth,Wales,United Kingdom,Circle,Flashing lights green and blue in the distance object was square and was stationary moving occasionally,True,,"Aberystwyth, Wales, United Kingdom",52.4143113,-4.0816846
https://nuforc.org/sighting/?id=188733,04/05/2025 22:15,Dindigul,Tamil Nadu,India,Circle,Strange Circle of Lights in Night Sky,True,Searchlight,"Dindigul, Tamil Nadu, India",10.425689649999999,77.815663999998
https://nuforc.org/sighting/?id=188742,04/05/2025 20:55,Eugene,OR,USA,Egg,Saw 4 crafts above my house flying in circular motions for over an hour. They did not make any noise and I have 3 videos of them,True,Searchlight,"Eugene, OR, USA",44.0505054,-123.0950506
https://nuforc.org/sighting/?id=188740,04/05/2025 20:45,Eugene,OR,USA,Circle,"Four dots moving in consistent patterns, like they were tracing the petals of a flower. Paused in the center of the pattern irregularly",False,Searchlight,"Eugene, OR, USA",44.0505054,-123.0950506
https://nuforc.org/sighting/?id=188741,04/05/2025 20:30,Springfield,OR,USA,Orb,"I saw four white orbs in the sky moving in perfect synchronization. They grouped together in a specific spot, then dispersed and group.",True,Searchlight,"Springfield, OR, USA",44.0462362,-123.0220289
https://nuforc.org/sighting/?id=188728,04/05/2025 13:20,Stara Moravica,Vojvodina,Serbia,Orb,-White orb below a condensation trail. Sighting equipment - bino BPC 12x50,False,Balloon?,"Stara Moravica, Vojvodina, Serbia",45.8693425,19.4666165
https://nuforc.org/sighting/?id=188726,04/05/2025 06:20,Cape Town,Western Cape,South Africa,Oval,Bright light changed to solid craft and then back to two orbs,False,,"Cape Town, Western Cape, South Africa",-33.9288301,18.4172197
https://nuforc.org/sighting/?id=188727,04/04/2025 21:43,Coxsackie,NY,USA,Changing,"I noticed the UAP out my window.And got my phone and tried to rush out the door to get it on film which fortunately , I was able to alt",True,,"Coxsackie, NY, USA",42.3503724,-73.7973581
